shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
14S-140-01-O,45.56267,-73.656579,36
14S-41-01-O,45.56267,-73.656579,52
14S-380-LC-E,45.57475,-73.65574,12
14S-380-01-E,45.57475,-73.65574,57
14S-69-01-E,45.57475,-73.65574,43
14S-140-LL-O,45.564004,-73.655787,35
14S-140-01-O,45.564004,-73.655787,35
14S-41-01-O,45.564004,-73.655787,51
14S-440-PM-O,45.550815,-73.656466,26
14S-440-AM-O,45.550815,-73.656466,25
14S-361-01-S,45.550815,-73.656466,9
14S-180-JO-E,45.550815,-73.656466,29
14S-140-LL-O,45.550815,-73.656466,44
14S-140-01-O,45.550815,-73.656466,44
14S-41-01-O,45.550815,-73.656466,60
14S-378-01-O,45.550617,-73.656326,20
14S-121-01-O,45.550617,-73.656326,20
14S-378-01-O,45.553214,-73.654939,18
14S-121-01-O,45.553214,-73.654939,18
14S-146-SW-E,45.537086,-73.654059,7
14S-146-JO-E,45.537086,-73.654059,7
14S-135-AM-S,45.537086,-73.654059,9
14S-54-01-O,45.52984,-73.655325,41
14S-140-01-E,45.566592,-73.654219,15
14S-41-01-E,45.566592,-73.654219,12
14S-146-SW-O,45.560213,-73.654511,7
14S-146-JO-O,45.560213,-73.654511,6
14S-380-01-O,45.578217,-73.653641,41
14S-69-01-O,45.578217,-73.653641,36
14S-378-01-O,45.554644,-73.654112,17
14S-121-01-O,45.554644,-73.654112,17
14S-359-01-N,45.568201,-73.653226,47
14S-45-01-N,45.568201,-73.653226,44
14S-359-01-S,45.568048,-73.653698,7
14S-45-LL-S,45.568048,-73.653698,9
14S-45-01-S,45.568048,-73.653698,6
14S-369-01-N,45.496616,-73.654943,39
14S-365-01-N,45.532711,-73.654367,46
14S-179-01-N,45.532711,-73.654367,21
14S-378-01-E,45.556474,-73.652844,72
14S-121-01-E,45.556474,-73.652844,41
14S-54-01-O,45.52923,-73.653153,42
14S-378-01-E,45.557824,-73.651993,73
14S-121-01-E,45.557824,-73.651993,42
14S-140-01-E,45.571031,-73.651276,18
14S-361-01-S,45.549575,-73.651801,11
14S-31-01-S,45.549575,-73.651801,12
14S-378-01-O,45.559472,-73.651213,14
14S-121-01-O,45.559472,-73.651213,14
14S-371-01-N,45.49491,-73.65283,37
14S-17-01-N,45.49491,-73.65283,31
14S-363-01-S,45.544411,-73.651379,13
14S-55-JO-S,45.544411,-73.651379,2
14S-54-HE-E,45.544411,-73.651379,6
14S-54-01-E,45.544411,-73.651379,26
14S-53-01-S,45.544411,-73.651379,13
14S-140-LL-O,45.572657,-73.650024,30
14S-140-01-O,45.572657,-73.650024,30
14S-102-01-E,45.461231,-73.652848,3
14S-378-01-E,45.561278,-73.649962,75
14S-121-01-E,45.561278,-73.649962,44
14S-56-01-N,45.553209,-73.649185,3
14S-30-01-N,45.553209,-73.649185,54
14S-378-01-O,45.563946,-73.648652,12
14S-121-01-O,45.563946,-73.648652,12
14S-166-PM-S,45.489036,-73.650861,1
14S-166-PM-N,45.489036,-73.650861,37
14S-166-L2-S,45.489036,-73.650861,1
14S-166-L2-N,45.489036,-73.650861,50
14S-166-JO-S,45.489036,-73.650861,1
14S-166-JO-N,45.489036,-73.650861,34
14S-124-01-N,45.500699,-73.650354,34
14S-124-01-S,45.500718,-73.650678,21
14S-361-01-S,45.548695,-73.648706,12
14S-31-01-S,45.548695,-73.648706,13
14S-435-JO-O,45.52789,-73.61524,13
14S-365-01-S,45.52789,-73.61524,38
14S-80-01-S,45.52789,-73.61524,14
14S-378-01-E,45.565473,-73.647588,77
14S-121-01-E,45.565473,-73.647588,46
14S-53-01-N,45.543708,-73.647939,6
14S-378-01-E,45.566927,-73.646743,78
14S-121-01-E,45.566927,-73.646743,47
14S-41-01-E,45.566927,-73.646743,15
14S-146-SW-O,45.557886,-73.646805,9
14S-146-JO-O,45.557886,-73.646805,8
14S-51-JO-O,45.460473,-73.649085,58
14S-100-JO-E,45.532591,-73.647003,42
14S-124-01-S,45.498988,-73.648325,24
14S-368-01-O,45.498537,-73.648506,71
14S-146-SW-E,45.546053,-73.646338,15
14S-146-JO-E,45.546053,-73.646338,15
14S-53-01-S,45.546053,-73.646338,16
14S-51-JO-O,45.461289,-73.648441,57
14S-166-PM-N,45.488334,-73.647373,35
14S-166-L2-N,45.488334,-73.647373,48
14S-166-JO-N,45.488334,-73.647373,32
14S-361-01-S,45.547804,-73.645614,13
14S-31-01-S,45.547804,-73.645614,14
14S-420-AM-E,45.47137,-73.648037,5
14S-103-JO-E,45.47137,-73.648037,7
14S-66-PM-S,45.47137,-73.648037,2
14S-66-JO-S,45.47137,-73.648037,2
14S-160-01-E,45.489098,-73.64735,2
14S-440-AM-E,45.564507,-73.644359,6
14S-359-01-N,45.564507,-73.644359,40
14S-54-HE-E,45.564507,-73.644359,28
14S-54-01-E,45.564507,-73.644359,48
14S-45-01-N,45.564507,-73.644359,40
14S-440-PM-O,45.565688,-73.644055,18
14S-54-01-O,45.565688,-73.644055,8
14S-359-01-S,45.564513,-73.645092,10
14S-45-LL-S,45.564513,-73.645092,12
14S-45-01-S,45.564513,-73.645092,9
14S-363-01-N,45.542674,-73.644695,39
14S-146-SW-O,45.542674,-73.644695,23
14S-146-LC-O,45.542674,-73.644695,6
14S-146-JO-O,45.542674,-73.644695,22
14S-55-JO-N,45.542674,-73.644695,36
14S-54-01-O,45.542674,-73.644695,28
14S-19-01-O,45.542674,-73.644695,5
14S-100-JO-O,45.537556,-73.644716,8
14S-160-01-E,45.491429,-73.644851,4
14S-365-01-S,45.529379,-73.644215,28
14S-179-01-S,45.529379,-73.644215,20
14S-54-01-O,45.571571,-73.642339,4
14S-66-PM-N,45.470894,-73.645463,36
14S-66-JO-N,45.470894,-73.645463,33
14S-138-01-E,45.470682,-73.645696,15
14S-104-01-E,45.470682,-73.645696,15
14S-370-01-E,45.486049,-73.645192,19
14S-161-01-E,45.486049,-73.645192,17
14S-56-01-S,45.551442,-73.643557,11
14S-30-01-S,45.551442,-73.643557,11
14S-102-01-O,45.458779,-73.645429,27
14S-368-01-O,45.497365,-73.644055,69
14S-124-01-N,45.497365,-73.644055,30
14S-370-01-O,45.487092,-73.644484,76
14S-161-01-O,45.487092,-73.644484,33
14S-51-JO-O,45.465479,-73.645,54
14S-135-AM-S,45.540841,-73.641719,26
14S-100-JO-E,45.540841,-73.641719,47
14S-52-AM-E,45.540841,-73.641719,6
14S-54-01-O,45.573198,-73.641676,3
14S-363-01-N,45.542509,-73.641198,38
14S-55-JO-N,45.542509,-73.641198,35
14S-18-JO-E,45.594049,-73.54257,55
14S-372-SO-E,45.513617,-73.632229,15
14S-372-LC-E,45.513617,-73.632229,15
14S-92-JO-E,45.513617,-73.632229,19
14S-353-01-E,45.563731,-73.549057,24
14S-136-01-N,45.563731,-73.549057,9
14S-368-01-O,45.508718,-73.614035,46
14S-119-01-S,45.508718,-73.614035,44
14S-51-JO-O,45.508718,-73.614035,22
14S-487-PM-O,45.651832,-73.517501,24
14S-86-SO-O,45.651832,-73.517501,59
14S-86-01-O,45.651832,-73.517501,59
14S-468-01-E,45.523819,-73.73644,55
14S-382-01-E,45.523819,-73.73644,74
14S-68-SO-E,45.523819,-73.73644,59
14S-68-AC-E,45.523819,-73.73644,85
14S-68-AB-E,45.523819,-73.73644,76
14S-170-JO-N,45.523655,-73.736107,34
14S-170-AC-S,45.523655,-73.736107,15
14S-170-JO-N,45.524882,-73.734299,32
14S-170-AC-S,45.524882,-73.734299,13
14S-468-01-E,45.524863,-73.734622,56
14S-382-01-E,45.524863,-73.734622,75
14S-68-SO-E,45.524863,-73.734622,60
14S-68-AC-E,45.524863,-73.734622,86
14S-68-AB-E,45.524863,-73.734622,77
14S-468-01-E,45.52638,-73.730488,58
14S-382-01-E,45.52638,-73.730488,77
14S-68-SO-E,45.52638,-73.730488,62
14S-68-AC-E,45.52638,-73.730488,88
14S-68-AB-E,45.52638,-73.730488,79
14S-468-01-E,45.52748,-73.729149,59
14S-382-01-E,45.52748,-73.729149,78
14S-68-SO-E,45.52748,-73.729149,63
14S-68-AC-E,45.52748,-73.729149,89
14S-68-AB-E,45.52748,-73.729149,80
14S-468-01-E,45.528569,-73.725769,60
14S-382-01-E,45.528569,-73.725769,79
14S-68-SO-E,45.528569,-73.725769,64
14S-68-AC-E,45.528569,-73.725769,90
14S-68-AB-E,45.528569,-73.725769,81
14S-69-01-O,45.531615,-73.718865,78
