stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
2300042,56313,Fleet / Netherwood,45.483257,-73.647816,http://m.stm.info/fr/horaires/arrets/56313/bus,1
2300077,56318,Côte-Saint-Luc / Glenmore,45.474858,-73.642609,http://m.stm.info/fr/horaires/arrets/56318/bus,1
2300092,56320,Côte-Saint-Luc / Ellerdale,45.476888,-73.636409,http://m.stm.info/fr/horaires/arrets/56320/bus,0
2300104,56324,Queen-Mary / Stratford,45.478240,-73.633887,http://m.stm.info/fr/horaires/arrets/56324/bus,1
2300112,56325,Côte-Saint-Luc / Stratford,45.477856,-73.632546,http://m.stm.info/fr/horaires/arrets/56325/bus,0
2300187,56331,Fielding / Côte-Saint-Luc,45.476897,-73.636627,http://m.stm.info/fr/horaires/arrets/56331/bus,0
2400034,56334,Kildare / Davies,45.459172,-73.673699,http://m.stm.info/fr/horaires/arrets/56334/bus,1
2400059,56336,Mackle / piscine municipale,45.469330,-73.671416,http://m.stm.info/fr/horaires/arrets/56336/bus,1
2400092,56342,Mackle / Caldwell,45.471623,-73.670006,http://m.stm.info/fr/horaires/arrets/56342/bus,1
2400114,56345,Kildare / McMurray,45.464280,-73.669725,http://m.stm.info/fr/horaires/arrets/56345/bus,1
2400134,56348,Kildare / Melling,45.466094,-73.668366,http://m.stm.info/fr/horaires/arrets/56348/bus,1
2400152,56350,Mackle / Centennial,45.476606,-73.667695,http://m.stm.info/fr/horaires/arrets/56350/bus,1
2400161,56352,Westminster / Guelph,45.461417,-73.667297,http://m.stm.info/fr/horaires/arrets/56352/bus,1
2400162,56353,Guelph / Westminster,45.461810,-73.667971,http://m.stm.info/fr/horaires/arrets/56353/bus,1
2400193,56357,Cavendish / Mackle,45.478108,-73.666796,http://m.stm.info/fr/horaires/arrets/56357/bus,0
2400197,56359,Mackle / Cavendish,45.477809,-73.666889,http://m.stm.info/fr/horaires/arrets/56359/bus,1
2400232,56362,Guelph / McMurray,45.463385,-73.666766,http://m.stm.info/fr/horaires/arrets/56362/bus,1
2400264,56369,Kildare / Caldwell,45.469540,-73.665711,http://m.stm.info/fr/horaires/arrets/56369/bus,1
2400272,56371,Guelph / Melling,45.465186,-73.665327,http://m.stm.info/fr/horaires/arrets/56371/bus,1
2400335,56377,Guelph / Jellicoe,45.466518,-73.664041,http://m.stm.info/fr/horaires/arrets/56377/bus,1
2400342,56378,Côte-Saint-Luc / Wolseley,45.458723,-73.663947,http://m.stm.info/fr/horaires/arrets/56378/bus,0
2400363,56380,Guelph / Kincourt,45.467204,-73.663786,http://m.stm.info/fr/horaires/arrets/56380/bus,1
2400364,56381,Guelph / Parkhaven,45.467460,-73.663357,http://m.stm.info/fr/horaires/arrets/56381/bus,1
2400404,56384,Guelph / Einstein,45.470015,-73.662317,http://m.stm.info/fr/horaires/arrets/56384/bus,1
2400433,56390,Cavendish / Kildare,45.476071,-73.661779,http://m.stm.info/fr/horaires/arrets/56390/bus,0
2400452,56395,Côte-Saint-Luc / Sunnybrooke,45.460464,-73.660139,http://m.stm.info/fr/horaires/arrets/56395/bus,1
2400504,56399,Côte-Saint-Luc / Robert-Burns,45.461528,-73.657811,http://m.stm.info/fr/horaires/arrets/56399/bus,0
2400532,56403,Fleet / Randall,45.475879,-73.652755,http://m.stm.info/fr/horaires/arrets/56403/bus,1
2400572,56407,Fleet / Pinedale,45.477001,-73.651755,http://m.stm.info/fr/horaires/arrets/56407/bus,1
2400574,56408,Fleet / Pinedale,45.476701,-73.651767,http://m.stm.info/fr/horaires/arrets/56408/bus,1
2400582,56409,Côte-Saint-Luc / Rosedale,45.468296,-73.651196,http://m.stm.info/fr/horaires/arrets/56409/bus,1
2400591,56411,Cavendish / Merton,45.472913,-73.650184,http://m.stm.info/fr/horaires/arrets/56411/bus,1
2400643,56417,Macdonald / Queen-Mary,45.480469,-73.632341,http://m.stm.info/fr/horaires/arrets/56417/bus,1
2400710,56420,Parkhaven / No 5790,45.468946,-73.668587,http://m.stm.info/fr/horaires/arrets/56420/bus,1
2400837,56425,Kildare / Cavendish,45.474782,-73.662508,http://m.stm.info/fr/horaires/arrets/56425/bus,1
2500033,56432,Westminster / Westover,45.458414,-73.659856,http://m.stm.info/fr/horaires/arrets/56432/bus,1
2803609,57050,90e Avenue / Radisson,45.427029,-73.639803,http://m.stm.info/fr/horaires/arrets/57050/bus,1
2803760,57058,Lapierre / Cégep André-Laurendeau,45.435075,-73.605178,http://m.stm.info/fr/horaires/arrets/57058/bus,0
2500128,56446,Ronald / Avon,45.448111,-73.643296,http://m.stm.info/fr/horaires/arrets/56446/bus,0
2500142,56447,Avon / Westminster,45.451559,-73.641492,http://m.stm.info/fr/horaires/arrets/56447/bus,1
2500180,56449,Notre-Dame / Voie ferrée C.N.,45.447506,-73.637406,http://m.stm.info/fr/horaires/arrets/56449/bus,1
2600172,56451,Norman / Richer,45.448013,-73.663439,http://m.stm.info/fr/horaires/arrets/56451/bus,0
2600272,56459,des Érables / Rolland,45.444851,-73.651930,http://m.stm.info/fr/horaires/arrets/56459/bus,0
2600302,56461,Saint-Jacques / Richardson,45.442694,-73.649888,http://m.stm.info/fr/horaires/arrets/56461/bus,1
2600326,56466,Saint-Pierre / Saint-Jacques,45.443879,-73.648718,http://m.stm.info/fr/horaires/arrets/56466/bus,0
2600332,56467,Saint-Jacques / Boyer,45.444222,-73.647349,http://m.stm.info/fr/horaires/arrets/56467/bus,1
2600341,56471,Saint-Pierre / Notre-Dame,45.442130,-73.646780,http://m.stm.info/fr/horaires/arrets/56471/bus,0
2600344,56473,Saint-Pierre / Notre-Dame,45.441916,-73.647706,http://m.stm.info/fr/horaires/arrets/56473/bus,0
2600348,56475,Saint-Pierre / Notre-Dame,45.441870,-73.647002,http://m.stm.info/fr/horaires/arrets/56475/bus,1
2600382,56478,Saint-Jacques / Ouellette,45.445811,-73.644735,http://m.stm.info/fr/horaires/arrets/56478/bus,1
2600540,56487,Saint-Jacques / No 92,45.446123,-73.644004,http://m.stm.info/fr/horaires/arrets/56487/bus,1
2600590,61157,Émile-Pominville / No 258,45.447720,-73.650809,http://m.stm.info/fr/horaires/arrets/61157/bus,0
2600614,56492,Saint-Jacques / Boyer,45.444038,-73.647431,http://m.stm.info/fr/horaires/arrets/56492/bus,1
2700194,56498,Champlain / Parkdale,45.438197,-73.596874,http://m.stm.info/fr/horaires/arrets/56498/bus,1
2700202,56499,Champlain / Crawford,45.440373,-73.595308,http://m.stm.info/fr/horaires/arrets/56499/bus,1
2700252,56503,Ouimet / Fayolle,45.436549,-73.590661,http://m.stm.info/fr/horaires/arrets/56503/bus,1
2700254,56504,Ouimet / Fayolle,45.436388,-73.590550,http://m.stm.info/fr/horaires/arrets/56504/bus,1
2700319,56513,Rolland / No 1411,45.446517,-73.586493,http://m.stm.info/fr/horaires/arrets/56513/bus,1
2700326,56515,Crawford / Churchill,45.438881,-73.587170,http://m.stm.info/fr/horaires/arrets/56515/bus,1
2700352,56517,Beurling / Rolland,45.446316,-73.584391,http://m.stm.info/fr/horaires/arrets/56517/bus,1
